,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
17,25,Austin Rivers,SG,6-3,200,1992-08-01,US,7,Duke
18,18,Thabo Sefolosha,PF,6-6,215,1984-05-02,CH,13,
19,17,P.J. Tucker,PF,6-5,245,1985-05-05,US,8,Texas
20,0,Russell Westbrook,PG,6-3,200,1988-11-12,US,11,UCLA
0,88,Goga Bitadze,C,6-11,250,1999-07-20,GE,R,
1,10,Brian Bowen,SF,6-6,190,1998-10-02,US,R,
2,7,Malcolm Brogdon,PG,6-5,229,1992-12-11,US,3,Virginia
3,3,Aaron Holiday,PG,6-0,185,1996-09-30,US,1,UCLA
4,8,Justin Holiday,SF,6-6,180,1989-04-05,US,6,Washington
5,24,Alize Johnson,PF,6-7,212,1996-04-22,US,1,Missouri State
6,26,Jeremy Lamb,SG,6-5,180,1992-05-30,US,7,UConn
7,22,T.J. Leaf,PF,6-10,222,1997-04-30,IL,2,UCLA
8,9,T.J. McConnell,PG,6-1,190,1992-03-25,US,4,"Duquesne, Arizona"
9,20,Doug McDermott,PF,6-7,225,1992-01-03,US,5,Creighton
10,15,Naz Mitrou-Long,SG,6-3,218,1993-08-03,CA,2,Iowa State
11,4,Victor Oladipo,SG,6-4,213,1992-05-04,US,6,Indiana
12,11,Domantas Sabonis,PF,6-11,240,1996-05-03,US,3,Gonzaga
13,14,JaKarr Sampson,PF,6-7,214,1993-03-20,US,4,St. John's
14,5,Edmond Sumner,SG,6-4,196,1995-12-31,US,2,Xavier
15,33,Myles Turner,C,6-11,250,1996-03-24,US,4,Texas
16,1,T.J. Warren,SF,6-8,220,1993-09-05,US,5,NC State
0,21,Patrick Beverley,PG,6-1,180,1988-07-12,US,7,Arkansas
1,7,Amir Coffey,SG,6-7,210,1997-06-17,US,R,Minnesota
2,13,Paul George,SG,6-8,220,1990-05-02,US,9,Fresno State
3,4,JaMychal Green,PF,6-8,227,1990-06-21,US,5,Alabama
4,8-11,Maurice Harkless,PF,6-7,220,1993-05-11,US,7,St. John's
5,5,Montrezl Harrell,C,6-7,240,1994-01-26,US,4,Louisville
6,1,Reggie Jackson,SG,6-3,208,1990-04-16,IT,8,Boston College
7,25,Mfiondu Kabengele,C,6-9,250,1997-08-14,CA,R,Florida State
8,2,Kawhi Leonard,SF,6-7,225,1991-06-29,US,8,San Diego State
9,14,Terance Mann,SF,6-5,215,1996-10-18,US,R,Florida State
10,19,Rodney McGruder,SG,6-4,205,1991-07-29,US,3,Kansas State
11,31,Marcus Morris,PF,6-8,218,1989-09-02,US,8,Kansas
12,15,Johnathan Motley,PF,6-8,230,1995-05-04,US,2,Baylor
13,55,Joakim Noah,C,6-11,230,1985-02-25,US,12,Florida
14,54,Patrick Patterson,PF,6-8,235,1989-03-14,US,9,Kentucky
15,1,Jerome Robinson,SG,6-4,190,1997-02-22,US,1,Boston College
16,20,Landry Shamet,SG,6-4,190,1997-03-13,US,1,Wichita State
17,10,Derrick Walton,PG,6-0,189,1995-04-03,US,1,Michigan
18,23,Lou Williams,PG,6-1,175,1986-10-27,US,14,
19,40,Ivica Zubac,C,7-0,240,1997-03-18,BA,3,
0,37,Kostas Antetokounmpo,PF,6-10,200,1997-11-20,GR,1,Dayton
1,11,Avery Bradley,SG,6-3,180,1990-11-26,US,9,Texas
2,12,Devontae Cacok,C,6-7,240,1996-10-08,US,R,UNC Wilmington
3,1,Kentavious Caldwell-Pope,SG,6-5,204,1993-02-18,US,6,Georgia
4,4,Alex Caruso,PG,6-5,186,1994-02-28,US,2,Texas A&M
5,2-28,Quinn Cook,PG,6-1,180,1993-03-23,US,3,Duke
6,30,Troy Daniels,SG,6-4,200,1991-07-15,US,6,VCU
7,3,Anthony Davis,PF,6-10,253,1993-03-11,US,7,Kentucky
8,10,Jared Dudley,PF,6-6,237,1985-07-10,US,12,Boston College
9,14,Danny Green,SG,6-6,215,1987-06-22,US,10,UNC
10,5,Talen Horton-Tucker,SG,6-4,234,2000-11-25,US,R,Iowa State
11,39,Dwight Howard,C,6-10,265,1985-12-08,US,15,
12,23,LeBron James,PG,6-9,250,1984-12-30,US,16,
13,0,Kyle Kuzma,PF,6-8,221,1995-07-24,US,2,Utah
14,7,JaVale McGee,C,7-0,270,1988-01-19,US,11,Nevada
15,88,Markieff Morris,PF,6-8,245,1989-09-02,US,8,Kansas
16,21,Zach Norvell,SG,6-5,206,1997-12-09,US,R,Gonzaga
17,9,Rajon Rondo,PG,6-1,180,1986-02-22,US,13,Kentucky
18,21,J.R. Smith,SG,6-6,225,1985-09-09,US,15,
19,18,Dion Waiters,SG,6-3,215,1991-12-10,US,7,Syracuse
0,31,Keita Bates-Diop,PF,6-8,229,1996-01-23,US,1,Ohio State
1,5,Malik Beasley,SG,6-4,187,1996-11-26,US,3,Florida State
2,7,Jordan Bell,C,6-8,216,1995-01-07,US,2,Oregon
3,33,Robert Covington,PF,6-7,209,1990-12-14,US,6,Tennessee State
4,9,Allen Crabbe,SF,6-5,212,1992-04-09,US,6,California
