,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
90,Michael Kidd-Gilchrist,PF,6-6,232,749001600000,US,7,Kentucky
91,Maxi Kleber,PF,6-10,240,696643200000,DE,2,
92,Courtney Lee,SG,6-5,215,497145600000,US,11,Western Kentucky
93,Boban MarjanoviÄ‡,C,7-4,290,587606400000,RS,4,
94,Kristaps PorziÅ†Ä£is,C,7-3,240,807321600000,LV,3,
95,Dwight Powell,C,6-10,240,679968000000,CA,5,Stanford
96,Josh Reaves,SF,6-4,214,865382400000,US,R,Penn State
97,Delon Wright,PG,6-5,185,704246400000,US,4,Utah
98,Will Barton,SF,6-5,181,663120000000,US,7,Memphis
99,Bol Bol,PF,7-2,220,942710400000,SD,R,Oregon
100,Vlatko ÄŒanÄar,PF,6-8,236,860630400000,SI,R,
101,Tyler Cook,SF,6-8,255,874972800000,US,R,Iowa
102,Torrey Craig,SF,6-7,221,661564800000,US,2,USC Upstate
103,PJ Dozier,SG,6-6,205,846201600000,US,2,South Carolina
104,Jerami Grant,PF,6-8,210,763430400000,US,5,Syracuse
105,Gary Harris,SG,6-4,210,779500800000,US,5,Michigan State
106,Nikola JokiÄ‡,C,7-0,284,793152000000,RS,4,
107,Paul Millsap,PF,6-7,257,476841600000,US,13,Louisiana Tech
108,Monte Morris,PG,6-2,183,804211200000,US,2,Iowa State
109,Jamal Murray,PG,6-4,215,856656000000,CA,3,Kentucky
110,Mason Plumlee,C,6-11,254,636595200000,US,6,Duke
111,Michael Porter,SF,6-10,218,899078400000,US,R,Missouri
112,Jordan Bone,PG,6-3,180,878688000000,US,R,Tennessee
113,Bruce Brown,PG,6-4,202,840067200000,US,1,Miami (FL)
114,Sekou Doumbouya,PF,6-8,230,977529600000,GN,R,
115,Andre Drummond,C,6-10,279,744940800000,US,7,UConn
116,Tim Frazier,PG,6-0,170,657417600000,US,5,Penn State
117,Langston Galloway,SG,6-1,200,692236800000,US,5,Saint Joseph's
118,Blake Griffin,PF,6-9,250,606009600000,US,9,Oklahoma
119,Donta Hall,PF,6-9,232,870912000000,US,R,Alabama
120,John Henson,C,6-9,219,662342400000,US,7,UNC
121,Luke Kennard,SG,6-5,206,835574400000,US,2,Duke
122,Louis King,SF,6-7,205,923356800000,US,R,Oregon
123,Brandon Knight,PG,6-2,182,691632000000,US,7,Kentucky
124,Thon Maker,C,7-0,221,856828800000,SS,3,
125,Sviatoslav Mykhailiuk,SF,6-7,205,865900800000,UA,1,Kansas
126,Derrick Rose,PG,6-2,200,591926400000,US,10,Memphis
127,Tony Snell,SF,6-6,213,689731200000,US,6,New Mexico
128,Khyri Thomas,SG,6-3,210,831513600000,US,1,Creighton
129,Christian Wood,PF,6-10,214,812160000000,US,3,UNLV
130,Ky Bowman,PG,6-1,187,866419200000,US,R,Boston College
131,Willie Cauley-Stein,C,7-0,240,745632000000,US,4,Kentucky
132,Marquese Chriss,PF,6-9,240,867801600000,US,3,Washington
133,Stephen Curry,PG,6-3,185,574300800000,US,10,Davidson
134,Draymond Green,PF,6-6,230,636508800000,US,7,Michigan State
