,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
307,Kyle Kuzma,PF,6-8,221,1995-07-24,US,2,Utah
308,JaVale McGee,C,7-0,270,1988-01-19,US,11,Nevada
309,Markieff Morris,PF,6-8,245,1989-09-02,US,8,Kansas
310,Zach Norvell,SG,6-5,206,1997-12-09,US,R,Gonzaga
311,Rajon Rondo,PG,6-1,180,1986-02-22,US,13,Kentucky
312,J.R. Smith,SG,6-6,225,1985-09-09,US,15,
313,Dion Waiters,SG,6-3,215,1991-12-10,US,7,Syracuse
314,Keita Bates-Diop,PF,6-8,229,1996-01-23,US,1,Ohio State
315,Malik Beasley,SG,6-4,187,1996-11-26,US,3,Florida State
316,Jordan Bell,C,6-8,216,1995-01-07,US,2,Oregon
317,Robert Covington,PF,6-7,209,1990-12-14,US,6,Tennessee State
318,Allen Crabbe,SF,6-5,212,1992-04-09,US,6,California
319,Jarrett Culver,SG,6-6,195,1999-02-20,US,R,Texas Tech
320,Gorgui Dieng,C,6-10,252,1990-01-18,SN,6,Louisville
321,Jacob Evans,SG,6-4,210,1997-06-18,US,1,Cincinnati
322,Treveon Graham,SF,6-5,219,1993-10-28,US,3,VCU
323,Juan HernangÃ³mez,PF,6-9,214,1995-09-28,ES,3,
324,James Johnson,C,6-7,240,1987-02-20,US,10,Wake Forest
325,Jake Layman,SF,6-8,209,1994-03-07,US,3,Maryland
326,Kelan Martin,SF,6-5,230,1995-08-03,US,R,Butler
327,Jordan McLaughlin,PG,5-11,185,1996-04-09,US,R,USC
328,Shabazz Napier,PG,6-0,175,1991-07-14,US,5,UConn
329,Jaylen Nowell,SG,6-4,201,1999-07-09,US,R,Washington
330,Josh Okogie,SG,6-4,213,1998-09-01,NG,1,Georgia Tech
331,Naz Reid,C,6-9,264,1999-08-26,US,R,LSU
332,D'Angelo Russell,PG,6-4,193,1996-02-23,US,4,Ohio State
333,Jeff Teague,PG,6-3,195,1988-06-10,US,10,Wake Forest
334,Karl-Anthony Towns,C,6-11,248,1995-11-15,US,4,Kentucky
335,Jarred Vanderbilt,PF,6-9,214,1999-04-03,US,1,Kentucky
336,Noah Vonleh,C,6-10,257,1995-08-24,US,5,Indiana
337,Andrew Wiggins,SF,6-7,197,1995-02-23,CA,5,Kansas
338,Grayson Allen,SG,6-4,198,1995-10-08,US,1,Duke
339,Kyle Anderson,SF,6-9,230,1993-09-20,US,5,UCLA
340,Jordan Bell,C,6-8,216,1995-01-07,US,2,Oregon
341,Dillon Brooks,SG,6-7,225,1996-01-22,CA,2,Oregon
342,Bruno Caboclo,C,6-9,218,1995-09-21,BR,5,
343,Brandon Clarke,PF,6-8,215,1996-09-19,CA,R,"San Jose State, Gonzaga"
344,Jae Crowder,SF,6-6,235,1990-07-06,US,7,Marquette
345,Gorgui Dieng,C,6-10,252,1990-01-18,SN,6,Louisville
346,Marko Guduric,SG,6-6,201,1995-03-08,RS,R,
347,Dusty Hannahs,SG,6-3,210,1993-09-02,US,1,"Texas Tech, Arkansas"
348,Solomon Hill,PF,6-6,226,1991-03-18,US,6,Arizona
349,Jaren Jackson,C,6-11,242,1999-09-15,US,1,Michigan State
350,Josh Jackson,SF,6-8,207,1997-02-10,US,2,Kansas
351,Tyus Jones,PG,6-0,196,1996-05-10,US,4,Duke
352,John Konchar,SG,6-5,210,1996-03-22,US,R,Purdue-Fort Wayne
353,De'Anthony Melton,PG,6-2,200,1998-05-28,US,1,USC
354,Ja Morant,PG,6-3,174,1999-08-10,US,R,Murray State
355,Anthony Tolliver,PF,6-8,240,1985-06-01,US,11,Creighton
356,Jarrod Uthoff,PF,6-9,221,1993-05-19,US,1,Iowa
357,Jonas ValanÄiÅ«nas,C,6-11,265,1992-05-06,LT,7,
358,Yuta Watanabe,SF,6-8,215,1994-10-13,JP,1,George Washington
359,Bam Adebayo,PF,6-9,255,1997-07-18,US,2,Kentucky
360,Kyle Alexander,C,6-11,220,1996-10-21,CA,R,Tennessee
361,Jimmy Butler,SF,6-7,230,1989-09-14,US,8,Marquette
362,Jae Crowder,PF,6-6,235,1990-07-06,US,7,Marquette
363,Goran DragiÄ‡,PG,6-3,190,1986-05-06,SI,11,
364,Udonis Haslem,C,6-8,235,1980-06-09,US,16,Florida
365,Tyler Herro,SG,6-5,195,2000-01-20,US,R,Kentucky
366,Solomon Hill,PF,6-6,226,1991-03-18,US,6,Arizona
367,Andre Iguodala,SF,6-6,215,1984-01-28,US,15,Arizona
368,James Johnson,PF,6-7,240,1987-02-20,US,10,Wake Forest
369,Derrick Jones,SF,6-6,210,1997-02-15,US,3,UNLV
370,Meyers Leonard,C,7-0,260,1992-02-27,US,7,Illinois
371,Daryl Macon,PG,6-2,185,1995-11-29,US,1,Arkansas
372,Kendrick Nunn,PG,6-2,190,1995-08-03,US,R,"Illinois, Oakland"
373,KZ Okpala,PF,6-8,215,1999-04-28,US,R,Stanford
374,Kelly Olynyk,C,6-11,240,1991-04-19,CA,6,Gonzaga
375,Duncan Robinson,SG,6-7,215,1994-04-22,US,1,"Williams, Michigan"
376,Chris Silva,PF,6-8,234,1996-09-19,GA,R,South Carolina
377,Gabe Vincent,PG,6-3,200,1996-06-14,US,R,UC Santa Barbara
378,Dion Waiters,SG,6-3,215,1991-12-10,US,7,Syracuse
379,Justise Winslow,SG,6-6,222,1996-03-26,US,4,Duke
380,Giannis Antetokounmpo,PF,6-11,242,1994-12-06,GR,6,
