,Year,Tm,Player,Age,G,MP,PER
15235,2009,ATL,Joe Johnson,27,79,3124,18.2
15236,2010,POR,LaMarcus Aldridge,24,78,2922,18.2
15237,2010,SAC,Tyreke Evans,20,72,2677,18.2
15238,2010,BOS,Paul Pierce,32,71,2411,18.2
15239,2010,PHI,Louis Williams,23,64,1912,18.2
15240,2010,UTA,Andrei Kirilenko,28,58,1681,18.2
15241,2011,SAC,Marcus Thornton,23,27,1030,18.2
15242,2011,CHA,Tyrus Thomas,24,41,861,18.2
15243,2012,NOH,Carl Landry,28,41,999,18.2
15244,2012,DET,Vernon Macklin,25,23,135,18.2
15245,2013,PHI,Thaddeus Young,24,76,2629,18.2
15246,2013,DET,Jose Calderon,31,28,887,18.2
15247,2013,MIL,John Henson,22,63,827,18.2
15248,2013,CLE,Marreese Speights,25,39,721,18.2
15249,2014,LAC,DeAndre Jordan,25,82,2870,18.2
15250,2014,MEM,Marc Gasol,29,59,1970,18.2
15251,2014,BOS,Kris Humphries,28,69,1376,18.2
15252,2015,WAS,Marcin Gortat,30,82,2453,18.2
15253,2016,SAS,Patrick Mills,27,7,149,18.2
15254,2016,MEM,Brandan Wright,28,7,120,18.2
15255,2016,MEM,Jordan Adams,21,2,15,18.2
15256,1978,NJN,Howard Porter,29,55,1216,18.3
15257,1979,DEN,Dan Issel,30,81,2742,18.3
15258,1981,SEA,Fred Brown,32,78,1986,18.3
15259,1982,PHI,Maurice Cheeks,25,79,2498,18.3
15260,1982,PHO,Walter Davis,27,55,1182,18.3
15261,1985,SAS,Johnny Moore,26,82,2689,18.3
15262,1985,PHI,Charles Barkley,21,82,2347,18.3
15263,1986,DET,Kelly Tripucka,26,81,2626,18.3
15264,1986,WSB,Cliff Robinson,25,78,2563,18.3
15265,1986,SAS,Johnny Moore,27,28,856,18.3
15266,1987,PHI,Maurice Cheeks,30,68,2624,18.3
15267,1987,UTA,Carey Scurry,24,69,753,18.3
15268,1989,DAL,Derek Harper,27,81,2968,18.3
15269,1989,NYK,Mark Jackson,23,72,2477,18.3
15270,1989,CHH,Dell Curry,24,48,813,18.3
15271,1989,DET,Steve Harris,25,3,7,18.3
15272,1990,DEN,Walter Davis,35,69,1635,18.3
15273,1991,HOU,Kenny Smith,25,78,2699,18.3
15274,1991,SAC,Antoine Carr,29,77,2527,18.3
15275,1991,SEA,Ricky Pierce,31,32,840,18.3
15276,1992,MIA,Milos Babic,23,9,35,18.3
15277,1992,GSW,Tony Massenburg,24,7,22,18.3
15278,1993,PHI,Hersey Hawkins,26,81,2977,18.3
15279,1995,POR,Clifford Robinson,28,75,2725,18.3
15280,1995,GSW,Tim Hardaway,28,62,2321,18.3
15281,1995,NYK,Ron Grandison,30,2,8,18.3
15282,1997,ORL,Rony Seikaly,31,74,2615,18.3
15283,1997,SEA,Detlef Schrempf,34,61,2192,18.3
15284,1997,IND,Rik Smits,30,52,1518,18.3
15285,1997,PHO,Sam Cassell,27,22,539,18.3
15286,1997,SAS,Darrin Hancock,25,1,8,18.3
15287,1998,HOU,Kevin Willis,35,81,2528,18.3
15288,1999,PHO,Clifford Robinson,32,50,1740,18.3
15289,2001,PHI,Todd MacCulloch,25,63,597,18.3
15290,2003,NJN,Kerry Kittles,28,65,1951,18.3
15291,2003,DAL,Shawn Bradley,30,81,1731,18.3
15292,2004,CLE,LeBron James,19,79,3122,18.3
15293,2004,SEA,Brent Barry,32,59,1803,18.3
15294,2004,DET,Mehmet Okur,24,71,1580,18.3
15295,2004,TOR,Rick Brunson,31,3,10,18.3
15296,2005,MIL,Michael Redd,25,75,2848,18.3
15297,2006,GSW,Baron Davis,26,54,1971,18.3
15298,2007,ATL,Josh Smith,21,72,2647,18.3
15299,2007,WAS,Caron Butler,26,63,2474,18.3
15300,2007,MEM,Kyle Lowry,20,10,175,18.3
15301,2008,DAL,Josh Howard,27,76,2757,18.3
15302,2008,WAS,Brendan Haywood,28,80,2228,18.3
15303,2009,MIN,Kevin Love,20,81,2048,18.3
15304,2010,CHA,Gerald Wallace,27,76,3119,18.3
15305,2010,LAC,Marcus Camby,35,51,1596,18.3
15306,2010,MEM,Lester Hudson,25,9,61,18.3
15307,2011,MEM,Tony Allen,29,72,1494,18.3
15308,2012,NYK,Jerome Jordan,25,21,108,18.3
15309,2013,MEM,Mike Conley,25,80,2757,18.3
15310,2013,MIL,Ersan Ilyasova,25,73,2012,18.3
15311,2014,MEM,Zach Randolph,32,79,2705,18.3
15312,2015,HOU,Terrence Jones,23,33,889,18.3
15313,1979,KCK,Otis Birdsong,23,82,2839,18.4
15314,1979,POR,Maurice Lucas,26,69,2462,18.4
15315,1979,LAL,Adrian Dantley,22,60,1775,18.4
15316,1981,NYK,Bill Cartwright,23,82,2925,18.4
15317,1981,CHI,Reggie Theus,23,82,2820,18.4
15318,1981,PHO,Walter Davis,26,78,2182,18.4
15319,1983,NJN,Mike Gminski,23,80,1255,18.4
15320,1987,LAL,James Worthy,25,82,2819,18.4
15321,1987,GSW,Joe Barry Carroll,28,81,2724,18.4
15322,1988,DEN,Danny Schayes,28,81,2166,18.4
15323,1989,ATL,Doc Rivers,27,76,2462,18.4
15324,1989,GSW,John Stroeder,30,4,20,18.4
15325,1991,SEA,Eddie Johnson,31,66,1773,18.4
15326,1992,IND,Micheal Williams,25,79,2750,18.4
15327,1994,POR,Clyde Drexler,31,68,2334,18.4
15328,1994,CLE,Brad Daugherty,28,50,1838,18.4
15329,1994,CLE,Tyrone Hill,25,57,1447,18.4
15330,1995,MIN,Tom Gugliotta,25,31,1018,18.4
15331,1996,MIL,Vin Baker,24,82,3319,18.4
15332,1997,POR,Rasheed Wallace,22,62,1892,18.4
15333,1998,ATL,Alan Henderson,25,69,2000,18.4
15334,1998,PHO,Marko Milic,20,33,163,18.4
15335,1999,SEA,Detlef Schrempf,36,50,1765,18.4
15336,2000,HOU,Steve Francis,22,77,2776,18.4
15337,2000,PHO,Jason Kidd,26,67,2616,18.4
15338,2000,HOU,Moochie Norris,26,30,502,18.4
15339,2001,SAC,Peja Stojakovic,23,75,2905,18.4
15340,2001,POR,Arvydas Sabonis,36,61,1299,18.4
15341,2001,DET,Corliss Williamson,27,27,800,18.4
15342,2002,POR,Bonzi Wells,25,74,2348,18.4
15343,2002,DEN,Nick Van Exel,30,45,1739,18.4
15344,2002,CHI,Jalen Rose,29,30,1216,18.4
15345,2002,CHI,Metta World Peace,22,27,823,18.4
15346,2003,CHI,Donyell Marshall,29,78,2378,18.4
15347,2003,SAC,Bobby Jackson,29,59,1676,18.4
15348,2003,POR,Ruben Boumtje-Boumtje,24,2,5,18.4
15349,2005,DAL,Jason Terry,27,80,2401,18.4
15350,2006,PHI,Chris Webber,32,75,2893,18.4
15351,2006,DAL,Jason Terry,28,80,2798,18.4
15352,2007,WAS,Antawn Jamison,30,70,2662,18.4
15353,2007,PHO,Leandro Barbosa,24,80,2613,18.4
15354,2007,DEN,Allen Iverson,31,50,2121,18.4
15355,2007,GSW,Ike Diogu,23,17,222,18.4
15356,2008,CHA,Jason Richardson,27,82,3149,18.4
15357,2008,PHI,Andre Miller,31,82,3016,18.4
15358,2008,HOU,Tracy McGrady,28,66,2440,18.4
15359,2008,UTA,Ronnie Brewer,22,76,2088,18.4
15360,2008,DAL,Jason Kidd,34,29,1011,18.4
15361,2009,PHI,Andre Iguodala,25,82,3269,18.4
15362,2010,ATL,Jamal Crawford,29,79,2460,18.4
15363,2010,NOH,Aaron Gray,25,24,261,18.4
15364,2011,HOU,Luis Scola,30,74,2412,18.4
15365,2011,DET,Rodney Stuckey,24,70,2183,18.4
15366,2011,PHI,Thaddeus Young,22,82,2135,18.4
15367,2011,DAL,Tyson Chandler,28,74,2059,18.4
15368,2012,MEM,Marc Gasol,27,65,2370,18.4
15369,2012,MIL,Brandon Jennings,22,66,2331,18.4
15370,2012,ATL,Joe Johnson,30,60,2127,18.4
15371,2013,MIN,Chris Johnson,27,30,284,18.4
15372,2014,TOR,DeMar DeRozan,24,79,3017,18.4
15373,2014,PHO,Markieff Morris,24,81,2153,18.4
15374,2014,NOP,Tyreke Evans,24,72,2028,18.4
15375,2014,MIL,Jeff Adrien,27,28,705,18.4
15376,2014,WAS,Drew Gooden,32,22,395,18.4
15377,2015,PHO,Eric Bledsoe,25,81,2800,18.4
15378,2015,DEN,Kenneth Faried,25,75,2086,18.4
15379,2016,CHI,Aaron Brooks,31,8,130,18.4
15380,1978,NJN,John Williamson,26,33,1282,18.5
15381,1980,KCK,Otis Birdsong,24,82,2885,18.5
15382,1980,PHI,Bobby Jones,28,81,2125,18.5
15383,1980,DEN,Alex English,26,24,875,18.5
15384,1982,KCK,Cliff Robinson,21,38,1229,18.5
15385,1984,PHO,Walter Davis,29,78,2546,18.5
15386,1984,NYK,Bill Cartwright,26,77,2487,18.5
15387,1984,CLE,John Garris,24,33,267,18.5
15388,1985,SAS,George Gervin,32,72,2091,18.5
15389,1986,ATL,Spud Webb,22,79,1229,18.5
15390,1986,POR,Jerome Kersey,23,79,1217,18.5
15391,1987,SAS,Alvin Robertson,24,81,2697,18.5
15392,1987,MIL,Ricky Pierce,27,79,2505,18.5
15393,1987,SEA,Curtis Kitchen,23,6,31,18.5
15394,1989,CLE,Brad Daugherty,23,78,2821,18.5
15395,1989,PHI,Mike Gminski,29,82,2739,18.5
15396,1990,WSB,Jeff Malone,28,75,2567,18.5
15397,1992,SAS,Terry Cummings,30,70,2149,18.5
15398,1992,BOS,Kevin McHale,34,56,1398,18.5
15399,1993,WSB,Pervis Ellison,25,49,1701,18.5
15400,1993,GSW,Keith Jennings,24,8,136,18.5
15401,1993,WSB,Steve Burtt,30,4,35,18.5
15402,1994,MIA,Glen Rice,26,81,2999,18.5
15403,1994,CHH,Dell Curry,29,82,2173,18.5
15404,1994,NJN,Armen Gilliam,29,82,1969,18.5
15405,1996,BOS,David Wesley,25,82,2104,18.5
15406,1996,GSW,Tim Hardaway,29,52,1487,18.5
15407,1998,ATL,Christian Laettner,28,74,2282,18.5
15408,1998,LAL,Kobe Bryant,19,79,2056,18.5
15409,1999,SAC,Lawrence Funderburke,28,47,936,18.5
15410,2001,DEN,Nick Van Exel,29,71,2688,18.5
15411,2001,POR,Will Perdue,35,13,58,18.5
15412,2002,SEA,Rashard Lewis,22,71,2585,18.5
15413,2003,POR,Rasheed Wallace,28,74,2684,18.5
15414,2004,MIA,Lamar Odom,24,80,3003,18.5
15415,2004,SAS,Manu Ginobili,26,77,2260,18.5
15416,2004,ATL,Bob Sura,30,27,956,18.5
15417,2005,NOH,Chris Andersen,26,67,1430,18.5
15418,2006,LAC,Sam Cassell,36,78,2653,18.5
15419,2007,SAC,Metta World Peace,27,70,2641,18.5
15420,2007,MIL,Ruben Patterson,31,81,2508,18.5
15421,2008,POR,LaMarcus Aldridge,22,76,2649,18.5
15422,2010,DAL,Rodrigue Beaubois,21,56,700,18.5
15423,2011,PHI,Elton Brand,31,81,2809,18.5
15424,2011,LAC,Eric Gordon,22,56,2112,18.5
15425,2011,MIN,Anthony Randolph,21,23,463,18.5
15426,2013,DEN,Kenneth Faried,23,80,2248,18.5
15427,2013,LAL,Jordan Hill,25,29,458,18.5
15428,2014,MIA,Chris Andersen,35,72,1396,18.5
15429,2014,MEM,James Johnson,26,52,956,18.5
15430,2015,DEN,Ty Lawson,27,75,2665,18.5
15431,2015,MIL,Brandon Knight,23,52,1688,18.5
15432,2016,NOP,Alexis Ajinca,27,6,76,18.5
15433,1978,BOS,Dave Cowens,29,77,3215,18.6
15434,1979,CLE,Campy Russell,27,74,2859,18.6
15435,1982,PHO,Alvan Adams,27,79,2393,18.6
15436,1982,NYK,Sly Williams,24,60,1521,18.6
15437,1983,NJN,Buck Williams,22,82,2961,18.6
15438,1983,PHI,Maurice Cheeks,26,79,2465,18.6
15439,1986,MIL,Paul Pressey,27,80,2704,18.6
15440,1986,DEN,Calvin Natt,29,69,2007,18.6
15441,1987,DET,Adrian Dantley,30,81,2736,18.6
15442,1987,GSW,Purvis Short,29,34,950,18.6
15443,1989,SEA,Xavier McDaniel,25,82,2385,18.6
15444,1989,MIL,Ricky Pierce,29,75,2078,18.6
15445,1989,SAC,Danny Ainge,29,28,1028,18.6
15446,1991,IND,Detlef Schrempf,28,82,2632,18.6
15447,1991,MIL,Alvin Robertson,28,81,2598,18.6
15448,1992,CLE,Hot Rod Williams,29,80,2432,18.6
15449,1992,LAC,Charles Smith,26,49,1310,18.6
15450,1993,PHO,Richard Dumas,23,48,1320,18.6
15451,1995,UTA,Jeff Hornacek,31,81,2696,18.6
15452,1995,POR,Otis Thorpe,32,34,908,18.6
15453,1995,WSB,Tom Gugliotta,25,6,226,18.6
15454,1996,VAN,Greg Anthony,28,69,2096,18.6
15455,1996,DEN,Mahmoud Abdul-Rauf,26,57,2029,18.6
15456,1997,MIL,Acie Earl,26,9,43,18.6
15457,1998,BOS,Dana Barros,30,80,1686,18.6
15458,1999,CHI,Toni Kukoc,30,44,1654,18.6
15459,2001,ORL,Darrell Armstrong,32,75,2767,18.6
15460,2002,DET,Ben Wallace,27,80,2921,18.6
15461,2003,GSW,Gilbert Arenas,21,82,2866,18.6
15462,2004,DET,Chauncey Billups,27,78,2758,18.6
15463,2004,POR,Darius Miles,22,42,1191,18.6
15464,2005,POR,Zach Randolph,23,46,1603,18.6
15465,2005,MIN,Sam Cassell,35,59,1522,18.6
15466,2005,IND,Jamaal Tinsley,26,40,1301,18.6
15467,2007,LAC,Corey Maggette,27,75,2291,18.6
15468,2009,PHI,Andre Miller,32,82,2976,18.6
15469,2009,CHA,Gerald Wallace,26,71,2669,18.6
15470,2009,UTA,Paul Millsap,23,76,2290,18.6
15471,2009,MIL,Charlie Villanueva,24,78,2095,18.6
15472,2009,CHI,Brad Miller,32,27,746,18.6
15473,2010,CHI,Derrick Rose,21,78,2871,18.6
15474,2011,GSW,Monta Ellis,25,80,3227,18.6
15475,2011,DEN,Chauncey Billups,34,51,1646,18.6
15476,2012,IND,Danny Granger,28,62,2062,18.6
15477,2012,GSW,Monta Ellis,26,37,1365,18.6
15478,2012,GSW,Chris Wright,23,24,186,18.6
15479,2012,BOS,Sean Williams,25,3,42,18.6
15480,2013,MIL,Samuel Dalembert,31,47,765,18.6
15481,2014,POR,Damian Lillard,23,82,2937,18.6
15482,2015,MEM,Mike Conley,27,70,2225,18.6
15483,2015,MEM,Jarnell Stokes,21,19,126,18.6
15484,2016,DAL,Deron Williams,31,5,145,18.6
15485,2016,HOU,Montrezl Harrell,22,7,76,18.6
15486,1978,BUF,Billy Knight,25,53,2155,18.7
15487,1980,POR,Abdul Jeelani,25,77,1286,18.7
15488,1982,DAL,Jay Vincent,22,81,2626,18.7
15489,1983,PHO,Larry Nance,23,82,2914,18.7
15490,1983,IND,Billy Knight,30,80,2262,18.7
15491,1985,LAC,Franklin Edwards,25,16,198,18.7
15492,1987,SEA,Xavier McDaniel,23,82,3031,18.7
15493,1988,SAC,Otis Thorpe,25,82,3072,18.7
15494,1990,DAL,Steve Alford,25,41,302,18.7
15495,1993,MIL,Moses Malone,37,11,104,18.7
15496,1994,GSW,Chris Gatling,26,82,1296,18.7
15497,1994,DEN,Marcus Liberty,25,3,11,18.7
15498,1995,CLE,Terrell Brandon,24,67,1961,18.7
15499,1997,CLE,Shawnelle Scott,24,16,50,18.7
15500,1998,SEA,Detlef Schrempf,35,78,2742,18.7
15501,1998,NJN,Jayson Williams,29,65,2343,18.7
15502,1999,IND,Reggie Miller,33,50,1787,18.7
15503,1999,DEN,Danny Fortson,22,50,1417,18.7
15504,1999,MIL,Dell Curry,34,42,864,18.7
15505,2003,WAS,Jerry Stackhouse,28,70,2747,18.7
15506,2003,DET,Richard Hamilton,24,82,2640,18.7
15507,2004,NJN,Kenyon Martin,26,65,2252,18.7
15508,2005,POR,Shareef Abdur-Rahim,28,54,1867,18.7
15509,2007,CHI,Luol Deng,21,82,3071,18.7
15510,2008,CLE,Zydrunas Ilgauskas,32,73,2222,18.7
15511,2009,LAC,Marcus Camby,34,62,1925,18.7
15512,2009,GSW,Brandan Wright,21,39,688,18.7
15513,2009,SAC,Drew Gooden,27,1,26,18.7
15514,2010,WAS,Gilbert Arenas,28,32,1169,18.7
15515,2010,GSW,Anthony Randolph,20,33,749,18.7
15516,2012,NYK,Tyson Chandler,29,62,2061,18.7
15517,2013,SAS,Tiago Splitter,28,81,1997,18.7
15518,2013,MIL,Larry Sanders,24,71,1937,18.7
15519,2014,SAS,Patrick Mills,25,81,1527,18.7
15520,2015,CLE,Timofey Mozgov,28,46,1148,18.7
15521,2016,CLE,Tristan Thompson,24,7,176,18.7
15522,2016,MIA,Tyler Johnson,23,6,110,18.7
15523,2016,NOP,Toney Douglas,29,4,78,18.7
15524,1979,MIL,Junior Bridgeman,25,82,1963,18.8
15525,1982,WSB,Jeff Ruland,23,82,2214,18.8
15526,1982,GSW,Purvis Short,24,76,1782,18.8
15527,1983,ATL,Dan Roundfield,29,77,2811,18.8
15528,1984,CLE,World B. Free,30,75,2375,18.8
15529,1984,SAS,Artis Gilmore,34,64,2034,18.8
15530,1986,BOS,Robert Parish,32,81,2567,18.8
15531,1986,DAL,Derek Harper,24,79,2150,18.8
15532,1987,DET,Isiah Thomas,25,81,3013,18.8
15533,1987,LAL,Adrian Branch,23,32,219,18.8
15534,1988,SAS,Walter Berry,23,73,1922,18.8
15535,1989,WSB,John Williams,22,82,2413,18.8
15536,1989,PHI,Jim Rowinski,28,3,7,18.8
15537,1990,WSB,Bernard King,33,82,2687,18.8
15538,1990,SAC,Antoine Carr,28,33,924,18.8
15539,1991,SEA,Dana Barros,23,66,750,18.8
15540,1992,GSW,Sarunas Marciulionis,27,72,2117,18.8
15541,1993,POR,Clifford Robinson,26,82,2575,18.8
15542,1993,ATL,Alex Stivrins,30,5,15,18.8
15543,1994,LAL,Vlade Divac,25,79,2685,18.8
15544,1997,UTA,Jeff Hornacek,33,82,2592,18.8
15545,1998,ATL,Steve Smith,28,73,2857,18.8
15546,1999,ATL,Dikembe Mutombo,32,50,1829,18.8
15547,1999,MIA,Tim Hardaway,32,48,1772,18.8
15548,1999,MIN,Stephon Marbury,21,18,661,18.8
15549,2000,SEA,Ruben Patterson,24,81,2097,18.8
15550,2001,MIA,Eddie Jones,29,63,2282,18.8
15551,2001,POR,Bonzi Wells,24,75,1995,18.8
15552,2002,UTA,Andrei Kirilenko,20,82,2151,18.8
15553,2002,POR,Ruben Patterson,26,75,1765,18.8
15554,2002,CHH,Jamaal Magloire,23,82,1549,18.8
15555,2004,DEN,Andre Miller,27,82,2838,18.8
15556,2004,MEM,James Posey,27,82,2451,18.8
15557,2004,DET,Rasheed Wallace,29,22,673,18.8
15558,2006,ORL,Carlos Arroyo,26,27,594,18.8
15559,2007,IND,Jermaine O'Neal,28,69,2459,18.8
15560,2008,NJN,Vince Carter,31,76,2959,18.8
15561,2008,MIL,Michael Redd,28,72,2702,18.8
15562,2008,SAC,Metta World Peace,28,57,2172,18.8
15563,2009,DEN,Chauncey Billups,32,77,2719,18.8
15564,2009,BOS,Rajon Rondo,22,80,2642,18.8
15565,2009,WAS,Caron Butler,28,67,2585,18.8
15566,2009,DEN,Nene Hilario,26,77,2510,18.8
15567,2009,TOR,Jose Calderon,27,68,2333,18.8
15568,2009,SAS,Drew Gooden,27,19,320,18.8
15569,2011,CHI,Carlos Boozer,29,59,1882,18.8
15570,2011,PHO,Marcin Gortat,26,55,1636,18.8
15571,2011,CHI,Joakim Noah,25,48,1576,18.8
15572,2011,UTA,Jeremy Evans,23,49,463,18.8
15573,2012,HOU,Kyle Lowry,25,47,1510,18.8
15574,2012,MIL,Drew Gooden,30,56,1469,18.8
15575,2012,POR,Elliot Williams,22,24,149,18.8
15576,2012,DAL,Sean Williams,25,8,65,18.8
15577,2013,CHA,Kemba Walker,22,82,2859,18.8
15578,2014,ORL,Nikola Vucevic,23,57,1812,18.8
15579,2014,BRK,Andray Blatche,27,73,1618,18.8
15580,2014,NYK,Amar'e Stoudemire,31,65,1466,18.8
15581,2014,NOP,Ryan Anderson,25,22,795,18.8
15582,2015,CLE,Kevin Love,26,75,2532,18.8
15583,2015,NOP,Jrue Holiday,24,40,1303,18.8
15584,2015,MIA,Goran Dragic,28,26,905,18.8
15585,2016,BOS,Kelly Olynyk,24,4,67,18.8
15586,1978,DET,Jim Bostic,25,4,48,18.9
15587,1980,ATL,Tree Rollins,24,82,2123,18.9
15588,1982,DEN,Kiki Vandeweghe,23,82,2775,18.9
15589,1983,DET,Isiah Thomas,21,81,3093,18.9
15590,1983,KCK,Mike Woodson,24,81,2426,18.9
15591,1984,SEA,Gus Williams,30,80,2818,18.9
15592,1984,ATL,Dan Roundfield,30,73,2610,18.9
15593,1985,GSW,Purvis Short,27,78,3081,18.9
15594,1985,IND,Clark Kellogg,23,77,2449,18.9
15595,1986,LAC,Marques Johnson,29,75,2605,18.9
15596,1987,NYK,Patrick Ewing,24,63,2206,18.9
15597,1988,SAS,Alvin Robertson,25,82,2978,18.9
15598,1990,MIL,Alvin Robertson,27,81,2599,18.9
15599,1992,PHO,Jeff Hornacek,28,81,3078,18.9
15600,1992,CHH,Larry Johnson,22,82,3047,18.9
15601,1992,BOS,Robert Parish,38,79,2285,18.9
15602,1993,CHH,Larry Johnson,23,82,3323,18.9
15603,1995,DAL,Jim Jackson,24,51,1982,18.9
15604,1996,ATL,Mookie Blaylock,28,81,2893,18.9
15605,1997,CHH,Anthony Mason,30,73,3143,18.9
15606,1999,LAL,Kobe Bryant,20,50,1896,18.9
15607,1999,MIL,Ray Allen,23,50,1719,18.9
15608,1999,DEN,Raef LaFrentz,22,12,387,18.9
15609,1999,MIL,Adonis Jordan,28,4,18,18.9
15610,2000,DET,Jerry Stackhouse,25,82,3148,18.9
15611,2000,CHH,Derrick Coleman,32,74,2347,18.9
15612,2000,CHH,Brad Miller,23,55,961,18.9
15613,2001,BOS,Antoine Walker,24,81,3396,18.9
15614,2001,LAC,Lamar Odom,21,76,2836,18.9
15615,2001,DAL,Calvin Booth,24,15,293,18.9
15616,2001,MIA,Ricky Davis,21,7,70,18.9
15617,2002,MIA,Alonzo Mourning,31,75,2455,18.9
15618,2002,DEN,Raef LaFrentz,25,51,1668,18.9
15619,2003,MIA,Eddie Jones,31,47,1789,18.9
15620,2004,MIL,Keith Van Horn,28,25,766,18.9
15621,2005,ORL,Steve Francis,27,78,2978,18.9
15622,2005,UTA,Mehmet Okur,25,82,2304,18.9
15623,2005,SAC,Kenny Thomas,27,26,823,18.9
15624,2005,MIA,Alonzo Mourning,34,19,245,18.9
15625,2006,NJN,Richard Jefferson,25,78,3059,18.9
15626,2006,LAC,Corey Maggette,26,32,943,18.9
15627,2007,DAL,Jason Terry,29,81,2846,18.9
15628,2007,NOK,David West,26,52,1900,18.9
15629,2009,NOH,David West,28,76,2982,18.9
15630,2009,NYK,Nate Robinson,24,74,2209,18.9
15631,2009,PHI,Donyell Marshall,35,25,189,18.9
15632,2009,WAS,Gilbert Arenas,27,2,63,18.9
15633,2010,NOH,David West,29,81,2949,18.9
15634,2010,DEN,Nene Hilario,27,82,2755,18.9
15635,2011,PHI,Louis Williams,24,75,1747,18.9
15636,2011,POR,Gerald Wallace,28,23,821,18.9
15637,2012,MIA,Chris Bosh,27,57,2007,18.9
15638,2012,PHI,Thaddeus Young,23,63,1755,18.9
15639,2012,CLE,Anderson Varejao,29,25,785,18.9
15640,2012,DEN,Chris Andersen,33,32,486,18.9
15641,2013,NYK,Tyson Chandler,30,66,2164,18.9
15642,2013,NOH,Robin Lopez,24,82,2136,18.9
15643,2014,SAS,Tony Parker,31,68,1997,18.9
15644,2014,CHA,Jannero Pargo,34,29,242,18.9
15645,2015,BOS,Tyler Zeller,25,82,1731,18.9
15646,2015,SAS,Tiago Splitter,30,52,1030,18.9
15647,2016,ATL,Thabo Sefolosha,31,6,116,18.9
15648,2016,NYK,Derrick Williams,24,7,111,18.9
15649,2016,WAS,Ramon Sessions,29,6,103,18.9
15650,1978,SAS,Larry Kenon,25,81,2869,19.0
15651,1979,WSB,Bob Dandridge,31,78,2629,19.0
15652,1979,IND,Billy Knight,26,39,976,19.0
15653,1980,BOS,Cedric Maxwell,24,80,2744,19.0
15654,1980,DEN,David Thompson,25,39,1239,19.0
15655,1981,NYK,Ray Williams,26,79,2742,19.0
15656,1982,NJN,Ray Williams,27,82,2732,19.0
15657,1982,POR,Calvin Natt,25,75,2599,19.0
15658,1983,POR,Calvin Natt,26,80,2879,19.0
15659,1983,NYK,Bill Cartwright,25,82,2468,19.0
15660,1986,DAL,Rolando Blackman,26,82,2787,19.0
15661,1986,CLE,World B. Free,32,75,2535,19.0
15662,1986,NJN,Mike Gminski,26,81,2525,19.0
15663,1987,SEA,Dale Ellis,26,82,3073,19.0
15664,1987,UTA,John Stockton,24,82,1858,19.0
15665,1989,DEN,Alex English,35,82,2990,19.0
15666,1989,LAL,James Worthy,27,81,2960,19.0
15667,1990,CLE,Hot Rod Williams,27,82,2776,19.0
15668,1990,SEA,Dale Ellis,29,55,2033,19.0
15669,1993,MIN,Micheal Williams,26,76,2661,19.0
15670,1993,GSW,Chris Mullin,29,46,1902,19.0
15671,1995,DET,Grant Hill,22,70,2678,19.0
15672,1995,NJN,Derrick Coleman,27,56,2103,19.0
15673,1996,IND,Rik Smits,29,63,1901,19.0
15674,1997,MIN,Tom Gugliotta,27,81,3131,19.0
15675,1997,ATL,Dikembe Mutombo,30,80,2973,19.0
15676,1999,ORL,Doug Overton,29,6,33,19.0
15677,2000,NYK,Marcus Camby,25,59,1548,19.0
15678,2001,GSW,Antawn Jamison,24,82,3394,19.0
15679,2002,DET,Jerry Stackhouse,27,76,2685,19.0
15680,2003,GSW,Antawn Jamison,26,82,3226,19.0
15681,2003,MEM,Mike Miller,22,16,360,19.0
15682,2005,DET,Chauncey Billups,28,80,2866,19.0
15683,2005,GSW,Jason Richardson,24,72,2724,19.0
15684,2006,UTA,Mehmet Okur,26,82,2945,19.0
15685,2006,ORL,Grant Hill,33,21,613,19.0
15686,2008,PHI,Andre Iguodala,24,82,3242,19.0
15687,2008,GSW,Monta Ellis,22,81,3071,19.0
15688,2008,ATL,Josh Smith,22,81,2873,19.0
15689,2009,NYK,David Lee,25,81,2824,19.0
15690,2009,DEN,Carmelo Anthony,24,66,2277,19.0
15691,2010,MIN,Al Jefferson,25,76,2463,19.0
15692,2011,CLE,Ramon Sessions,24,81,2133,19.0
15693,2011,ORL,Ryan Anderson,22,64,1424,19.0
15694,2011,DEN,Chris Andersen,32,45,732,19.0
15695,2012,OKC,Serge Ibaka,22,66,1792,19.0
15696,2012,ATL,Al Horford,25,11,348,19.0
15697,2013,SAS,Manu Ginobili,35,60,1393,19.0
15698,2014,MIA,Chris Bosh,29,79,2531,19.0
15699,2014,DEN,Ty Lawson,26,62,2222,19.0
15700,2014,UTA,Derrick Favors,22,73,2201,19.0
15701,2014,BRK,Mason Plumlee,23,70,1275,19.0
15702,2016,POR,C.J. McCollum,24,8,276,19.0
15703,2016,LAL,Nick Young,30,6,109,19.0
15704,1978,BUF,Randy Smith,29,82,3314,19.1
15705,1979,WSB,Elvin Hayes,33,82,3105,19.1
15706,1980,CLE,Mike Mitchell,24,82,2802,19.1
15707,1980,GSW,Purvis Short,22,62,1636,19.1
15708,1983,PHO,Walter Davis,28,80,2491,19.1
15709,1984,IND,Clark Kellogg,22,79,2676,19.1
15710,1984,ATL,Wes Matthews,24,6,96,19.1
15711,1985,LAC,Derek Smith,23,80,2762,19.1
15712,1986,GSW,Purvis Short,28,64,2427,19.1
15713,1990,CLE,Larry Nance,30,62,2065,19.1
15714,1991,WSB,Bernard King,34,64,2401,19.1
15715,1992,GSW,Tim Hardaway,25,81,3332,19.1
